No.,Article Title,Language,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",Publication Year,Number of Pages
803,"EMERGING APPLICATIONS OF IOT, MACHINE LEARNING, VIRTUAL REALITY, AUGMENTED REALITY AND ARTIFICIAL INTELLIGENT IN MONITORING SYSTEMS: A COMPREHENSIVE REVIEW AND ANALYSIS",English,109,0,0,2025,23
804,Heterogeneous Data-Aware Federated Learning for Intrusion Detection Systems via Meta-Sampling in Artificial Intelligence of Things,English,44,14,14,2024,15
805,Artificial Intelligence and Cross-Domain Warfare: Balance of Power and Unintended Escalation,English,67,5,6,2024,15
806,What does the public think about artificial intelligence?-A criticality map to understand bias in the public perception of AI,English,82,50,64,2023,12
807,AI-Powered Penetration Testing using Shennina: From Simulation to Validation,English,23,1,1,2024,7
808,RQ Labs: A Cybersecurity Workforce Talent Program Design,English,24,2,2,2022,15
809,Malevolent Cyborgization,English,21,2,3,2017,10
810,"Exploring the Potential of Artificial Intelligence in Medical Research: Applications, Regulatory Concerns, Opportunities and Future Outlook- A Mini Review",English,116,0,1,2024,16
811,Cybersecurity in Connected and Autonomous Vehicles: A Systematic Review of Automotive Security,English,118,0,0,2025,38
812,A Hybrid Approach for an Interpretable and Explainable Intrusion Detection System,English,22,11,12,2022,11
813,AI4COLLAB: An AI-based Threat Information Sharing Platform,English,14,0,0,2024,6
814,Detection of DDoS Attack on Smart Home Infrastructure Using Artificial Intelligence Models,English,30,0,0,2022,7
815,Creating Cybersecurity Knowledge Graphs From Malware After Action Reports,English,45,51,62,2020,13
816,IoT Technological Development: Prospect and Implication for Cyberstability,English,39,3,4,2019,10
817,"Artificial Intelligence based Security Orchestration, Automation and Response System",English,6,2,3,2021,5
818,Cybersecurity Perspectives for Smart Building Automation Systems,English,18,7,8,2020,5
819,CAF-IoT: A Cybersecurity Assessment Framework for IoT Devices,English,16,0,0,2024,6
820,Public sentiment and engagement on cybersecurity: Insights from Reddit discussions,English,69,5,6,2025,16
821,The European artificial intelligence strategy: implications and challenges for digital health,English,24,66,88,2020,4
822,"Vessels Cybersecurity: Issues, Challenges, and the Road Ahead",English,15,50,63,2020,7
823,A Bibliometric Analysis of Agent-Based Systems in Cybersecurity and Broader Security Domains: Trends and Insights,English,47,0,2,2025,30
824,Autonomous Vehicles Security: Challenges and Solutions Using Blockchain and Artificial Intelligence,English,232,73,79,2023,24
825,What Works Well? A Safety-II Approach to Cybersecurity,English,45,0,0,2024,13
826,Digital Health: The Cybersecurity for AI-Based Healthcare Communication,English,45,2,3,2025,13
827,A Novel Framework for Financial Cybersecurity and Fraud Detection Using XAI-RNN-SGRU,English,40,0,0,2025,22
828,Using Generative AI Models to Support Cybersecurity Analysts,English,29,0,0,2024,15
829,ETHICS FOR ARTIFICIAL HISTORIANS,English,64,0,0,2025,19
830,Requirement Analysis for Cybersecurity Solutions in Industry 4.0 Platforms,English,27,5,7,2019,7
831,The Future of Learning in the Age of Artificial Intelligence (AI) - The Effects of AI on an Environment of Teaching and Learning,English,36,0,0,2025,17
832,Modelling of Metaheuristics with Machine Learning-Enabled Cybersecurity in Unmanned Aerial Vehicles,English,35,5,6,2022,15
833,Overview of Intelligent Inverters and Associated Cybersecurity Issues for a Grid-Connected Solar Photovoltaic System,English,129,7,7,2023,19
834,Three Challenges to Secure AI Systems in the Context of AI Regulations,English,112,3,4,2024,14
835,"Cyber Threats to Smart Grids: Review, Taxonomy, Potential Solutions, and Future Directions",English,164,53,62,2022,37
836,ARTIFICIAL INTELLIGENCE - A NEW FORM OF USING SPECIAL KNOWLEDGE IN INVESTIGATINGAND SOLVING CYBERCRIMES,English,36,0,0,2023,11
837,Applying Norms and Sanctions to Promote Cybersecurity Hygiene,English,7,2,2,2019,3
838,Artificial Intelligence to Support the Training and Assessment of Professionals: A Systematic Literature Review,English,134,1,1,2025,29
839,Enhancing Cybersecurity of a Hydroelectric Power Plant Through Digital Twin Modeling and Explainable AI,English,85,1,1,2025,22
840,SIFT: Sifting file types-application of explainable artificial intelligence in cyber forensics,English,74,1,1,2024,23
841,Protecting Intellectual Property With Reliable Availability of Learning Models in AI-Based Cybersecurity Services,English,43,12,13,2024,18
842,Debating Cybersecurity or Securing a Debate? (Position Paper),English,10,1,1,2015,8
843,Assembling a Cyber Range to Evaluate Artificial Intelligence/Machine Learning (AI/ML) Security Tools,English,4,0,0,2021,9
844,ALICE: a hybrid AI paradigm with enhanced connectivity and cybersecurity for a serendipitous encounter with circulating hybrid cells,English,96,8,9,2020,23
845,A Blockchain-Based Architecture and Framework for Cybersecure Smart Cities,English,45,14,14,2023,12
846,Explainable AI for Cyber-Physical Systems: Issues and Challenges,English,78,10,13,2024,28
847,"On adversarial attack detection in the artificial intelligence era: Fundamentals, a taxonomy, and a review",English,101,0,0,2025,19
848,Digital Twins and Extended Reality for Tailoring Better Adapted Cybersecurity Trainings in Critical Infrastructures,English,103,4,4,2024,20
849,"Secure Robotics: Navigating Challenges at the Nexus of Safety, Trust, and Cybersecurity in Cyber-Physical Systems",English,157,0,0,2025,48
850,A Review of Smart Grid Anomaly Detection Approaches Pertaining to Artificial Intelligence,English,76,13,18,2024,18
851,Sustainable Security for the Internet of Things Using Artificial Intelligence Architectures,English,57,48,48,2021,22
852,Adversarial agent-learning for cybersecurity: a comparison of algorithms,English,51,5,5,2023,26
853,A Mini Literature Review on Integrating Cybersecurity for Business Continuity,English,22,3,4,2023,7
854,"ChatGPT, Finances, and Degree Attainment: Increasing Generative Artificial Intelligence (AI) Utilization and Implications for Students' Decision-Making",English,52,0,1,2024,7
855,Analysis of IoT Security Challenges and Its Solutions Using Artificial Intelligence,English,152,59,73,2023,30
856,"Machine learning for cybersecurity in smart grids: A comprehensive review-based study on methods, solutions, and prospects",English,123,50,61,2022,15
857,A Case Study on the Cybersecurity of Social Robots,English,5,16,19,2018,2
858,Comparative analysis and evaluation of the application of deep learning techniques to cybersecurity datasets,English,28,1,1,2021,6
859,Digital transformation through advances in artificial intelligence and machine learning,English,52,20,27,2022,8
860,"If you worry about humanity, you should be more scared of humans than of AI",English,6,2,2,2023,4
861,Research on Parameter-Efficient Knowledge Graph Completion Methods and Their Performance in the Cybersecurity Field,English,43,0,0,2025,15
862,Applications of Artificial Intelligence to Detect Android Botnets: A Survey,English,48,4,4,2022,12
863,Possibilities of Using AI in DSO Sector,English,44,0,0,2024,17
864,"Artificial Intelligence (AI) Trust Framework and Maturity Model: Applying an Entropy Lens to Improve Security, Privacy, and Ethical AI",English,97,20,29,2023,24
865,Security and privacy-aware Artificial Intrusion Detection System using Federated Machine Learning,English,25,25,27,2021,14
866,Enhancing Spear Phishing Defense with AI: A Comprehensive Review and Future Directions,English,33,0,0,2025,10
867,"Cross-quantile interdependence among future energy, metaverse, artificial intelligence, fintech, space, cyber security, and digital assets",English,44,0,0,2025,23
868,A survey on unmanned aerial systems cybersecurity,English,196,1,1,2024,20
869,Industry 4.0 in Finance: The Impact of Artificial Intelligence (AI) on Digital Financial Inclusion,English,65,164,232,2020,14
870,Data Poisoning: Achilles Heel of Cyber Threat Intelligence Systems,English,21,2,3,2019,10
871,Exploring Cyber Fraud within the South African Cybersecurity Legal Framework,English,15,0,0,2024,7
872,Hybrid deep-learning model to detect botnet attacks over internet of things environments,English,62,25,30,2022,15
873,Securing Wireless Communications of Connected Vehicles with Artificial Intelligence,English,12,23,23,2017,7
874,Cybersecurity for Smart Cities: A Brief Review,English,16,13,14,2017,9
875,A novel framework to identify cybersecurity challenges and opportunities for organizational digital transformation in the cloud,English,98,1,1,2025,16
876,Research on quality assessment methods for cybersecurity knowledge graphs,English,29,3,3,2024,12
877,Six Digital Health Technologies That Will Transform Diabetes,English,58,17,18,2023,11
878,Bridging the Digital Divide: Securing Information and Computer Systems in an Unequal World,English,13,0,0,2024,14
879,An Adversarial Attack on Artificial Intelligence Malware Detection in Consumer Internet of Things,English,41,1,1,2025,14
880,OPTIMIZATION OF EIGRP DYNAMIC ROUTING PROTOCOL BASED ON ARTIFICIAL INTELLIGENCE ALGORITHM,English,8,0,0,2022,10
881,"A review on the preparedness of Chinese maritime law education for emerging industry and technology trends: Sustainable net-zero shipping, maritime digitalization, and application of artificial intelligence technologies",English,86,0,0,2025,11
882,Proposal of a Blockchain-Based Data Management System for Decentralized Artificial Intelligence Devices,English,62,0,0,2025,17
883,Heterogeneous Preferences and Patterns of Contribution in Cybersecurity as a Public Good,English,19,0,0,2021,8
884,Integration of Cybersecurity into Computer Science Teachers' Training: A Systematic Review,English,45,0,0,2025,19
885,Incorporating the Concept of Bias and Fairness in Cybersecurity Curricular Module,English,2,0,0,2023,1
886,Advancing Artificial Intelligence of Things Security: Integrating Feature Selection and Deep Learning for Real-Time Intrusion Detection,English,53,1,1,2025,17
887,Towards a Cybersecurity Investment Assessment method using Primitive Cognitive Network Process,English,14,8,9,2019,4
888,"Leveraging the European Cybersecurity Skills Framework(ECSF) in EU Innovation Projects: Workforce Development through Skilling, Upskilling, and Reskilling",English,30,1,1,2024,9
889,Zero-Trust Marine Cyberdefense for IoT-Based Communications: An Explainable Approach,English,54,11,13,2024,27
890,A risk and conformity assessment framework to ensure security and resilience of healthcare systems and medical supply chain,English,53,1,1,2025,28
891,Top Cyber Threats: The Rise of Ransomware,English,73,0,1,2024,16
892,Design of an AI-driven Network Digital Twin for advanced 5G-6G network management,English,31,2,3,2024,7
893,Applications of AI /ML in Maritime Cyber Supply Chains,English,31,3,3,2024,11
894,"From Tweets to Threats: A Survey of Cybersecurity Threat Detection Challenges, AI-Based Solutions and Potential Opportunities in X",English,166,0,0,2025,45
895,AI-Based Holistic Framework for Cyber Threat Intelligence Management,English,86,1,2,2025,27
896,Leveraging osprey optimization algorithm with deep ensemble learning for cybersecurity in CPS environment,English,28,0,0,2025,11
897,Protecting Radiology Data and Devices Against Cybersecurity Threats: A Joint White Paper of the American College of Radiology (ACR) and Society for Imaging Informatics in Medicine (SIIM),English,40,0,0,2025,12
898,Enhancing Cybersecurity in Healthcare 5.0 Through Innovative Frameworks,English,8,0,0,2024,6
899,Adversarial Cognitive Engineering (ACE) and Defensive Cybersecurity: Leveraging Attacker Decision-Making Heuristics in a Cybersecurity Task,English,44,0,0,2024,10
900,A review of generative adversarial networks and its application in cybersecurity,English,52,79,98,2020,16
901,The Emergence of Deepfake Technology: A Review,English,25,404,546,2019,14
902,The Concept of Applying Lifelong Learning Paradigm to Cybersecurity,English,26,6,6,2017,9
903,"Leveraging Computational Intelligence Techniques for Defensive Deception: A Review, Recent Advances, Open Problems and Future Directions",English,120,14,15,2022,26
904,Towards Semantic Modeling and Simulation of Cybersecurity on the Internet of Underwater Things,English,43,1,2,2022,12
905,Detecting Adversarial Attacks in IoT-Enabled Predictive Maintenance with Time-Series Data Augmentation,English,38,3,3,2024,18
906,Designing Generative AI-Envisioned Security Scheme for Server Attacks Protection,English,31,0,0,2025,14
907,The Current Landscape of Cybersecurity Training in CAHIIM Accredited Programs,English,18,0,0,2024,3
908,Approach to Side Channel-Based Cybersecurity Monitoring for Autonomous Unmanned Objects,English,18,0,2,2019,9
909,ChatGPT vs. Gemini: Comparative Evaluation in Cybersecurity Education with Prompt Engineering Impact,English,47,0,0,2024,9
910,Securing the Metaverse: A Bibliometric Analysis of Cybersecurity Challenges and Research Trajectories,English,38,1,1,2025,17
911,Detection of Advanced Persistent Threats using Artificial Intelligence for Deep Packet Inspection,English,14,6,9,2021,6
912,Securing Smart Future: Cyber Threats and Intelligent Means to Respond,English,25,2,2,2021,5
913,"Cybersecurity Challenges in Smart Grid Systems: Current and Emerging Attacks, Opportunities, and Recommendations",English,168,2,2,2025,33
914,A Characterization of Cybersecurity Posture from Network Telescope Data,English,38,1,4,2015,22
915,An Overview of Medical Electronic Hardware Security and Emerging Solutions,English,121,3,4,2022,43
916,"NG-ICPS: Next Generation Industrial-CPS, Security Threats in the Era of Artificial Intelligence, and Open Challenges With Future Research Directions",English,135,1,1,2025,25
917,A Literature Review on Applications of Explainable Artificial Intelligence (XAI),English,120,8,9,2025,30
918,Explainable AI-Driven Firewall Evaluation: Empowering Cybersecurity Decision-Making for Optimal Network Defense,English,84,0,0,2025,25
919,Cybersecurity for Safety: Risk Assessment of Autonomous Cyber-Physical Systems,English,26,0,0,2024,6
920,Reference-Based AI Decision Support for Cybersecurity,English,23,2,5,2023,16
921,Digital transformation in Russia: Turning from a service model to ensuring technological sovereignty,English,87,1,1,2024,13
922,The Security Challenges in the IoT enabled Cyber-Physical Systems and Opportunities for Evolutionary Computing & Other Computational Intelligence,English,39,74,91,2016,7
923,CyberEscape Approach to Advancing Hard and Soft Skills in Cybersecurity Education,English,35,3,3,2023,19
924,Artificial Intelligence Algorithms for Malware Detection in Android-Operated Mobile Devices,English,75,36,36,2022,26
925,Enhancing Cybersecurity in Internet of Vehicles: A Machine Learning Approach with Explainable AI for Real-Time Threat Detection,English,24,0,0,2025,8
926,Optimized Artificial Intelligence Model for DDoS Detection in SDN Environment,English,38,16,17,2023,16
927,Artificial Intelligence and International Trade from a Latin American Perspective,English,14,1,1,2024,9
928,Towards a conceptual framework for AI-driven anomaly detection in smart city IoT networks for enhanced cybersecurity,English,95,4,4,2024,12
929,Applying the defense model to strengthen information security with artificial intelligence in computer networks of the financial services sector,English,69,0,0,2025,27
930,Granular Computing Approach to Cybersecurity Problem,English,38,1,1,2018,11
931,Artificial Neural Network for Binary and Multiclassification of Network Attacks,English,30,0,0,2023,8
932,The HEIC application framework for implementing XAI-based socio-technical systems,English,107,4,5,2022,20
933,Real-Time Cyber Threat Detection in Smart Cities Using Artificial Intelligence,English,28,0,0,2025,7
934,Explainable Autonomic Cybersecurity For Industrial Control Systems,English,11,0,0,2023,7
935,A Hybrid MCDM Model Combining DANP and PROMETHEE II Methods for the Assessment of Cybersecurity in Industry 4.0,English,123,25,31,2021,35
936,AI in IIoT Management of Cybersecurity for Industry 4.0 and Industry 5.0 Purposes,English,45,19,22,2023,15
937,Securing the 6G-IoT Environment: A Framework for Enhancing Transparency in Artificial Intelligence Decision-Making Through Explainable Artificial Intelligence,English,57,5,6,2025,32
938,An intelligent cybersecurity system for detecting fake news in social media websites,English,53,19,20,2022,15
939,Editorial: Fighting Cybersecurity Risks from a Multidisciplinary Perspective,English,0,0,0,2024,3
940,Blockchain for AI: Review and Open Research Challenges,English,139,479,571,2019,23
941,Internet of Things Cybersecurity Platform Benchmark: A Machine Learning Assessment,English,23,0,0,2024,9
942,Reconsidering the Cybersecurity Framework in the Road Transportation Domain,English,42,3,3,2020,27
943,Developing Curricular Modules for Cybersecurity Informatics: An Active Learning Approach,English,10,5,5,2017,3
944,Robust Intrusion Detection With Combinatorial Fusion and Generative Artificial Intelligence,English,15,0,0,2025,12
945,A framework for conceptual characterization of ontologies and its application in the cybersecurity domain,English,109,6,25,2022,28
946,A simulation-driven computational framework for adaptive energy-efficient optimization in machine learning-based intrusion detection systems,English,38,0,0,2025,13
947,Harnessing the Advanced Capabilities of LLM for Adaptive Intrusion Detection Systems,English,29,10,11,2024,12
948,Large Language Model for Low-Carbon Energy Transition: Roles and Challenges,English,28,3,3,2024,7
949,Sine-Cosine-Adopted African Vultures Optimization with Ensemble Autoencoder-Based Intrusion Detection for Cybersecurity in CPS Environment,English,23,8,8,2023,19
950,Privacy-preserving correlation of cross-organizational cyber threat intelligence with private graph intersections,English,31,2,2,2023,19
951,AI-based Cyber Event OSINT via Twitter Data,English,30,6,7,2023,7
952,"Cybersecurity Threats, Vulnerabilities, Mitigation Measures in Industrial Control and Automation Systems: A Technical Review",English,70,3,3,2022,8
953,Interplay of Digital Twins and Cyber Deception: Unraveling Paths for Technological Advancements,English,39,1,2,2024,9
954,Towards autonomous device protection using behavioural profiling and generative artificial intelligence,English,42,0,0,2025,12
955,Research on Relation Classification Tasks Based on Cybersecurity Text,English,42,3,3,2023,16
956,A Malware Detection and Extraction Method for the Related Information Using the ViT Attention Mechanism on Android Operating System,English,45,12,13,2023,22
957,A Cybersecurity Knowledge Graph Completion Method for Scalable Scenarios,English,24,1,1,2023,16
958,Leveraging information security and computational trust for cybersecurity,English,46,15,25,2016,35
959,Detecting cyberthreats in Metaverse learning platforms using an explainable DNN,English,56,25,27,2024,17
960,"Artificial intelligence in public health: promises, challenges, and an agenda for policy makers and public health institutions",English,37,3,6,2025,5
961,"Impact of EU Laws on AI Adoption in Smart Grids: A Review of Regulatory Barriers, Technological Challenges, and Stakeholder Benefits",English,85,0,0,2025,33
962,The evolution of cybersecurity in self-driving cars: insights from bibliometric research,English,83,1,1,2025,21
963,IRIS Advanced Threat Intelligence Orchestrator-A Way to Manage Cybersecurity Challenges of IoT Ecosystems in Smart Cities,English,10,1,1,2022,11
964,Artificial intelligence driven cyberattack detection system using integration of deep belief network with convolution neural network on industrial IoT,English,34,4,6,2025,13
965,Federated Learning for Cloud and Edge Security: A Systematic Review of Challenges and AI Opportunities,English,150,8,12,2025,60
966,Photonic-accelerated AI for cybersecurity in sustainable 6G networks,English,30,0,0,2023,6
967,A Comprehensive Survey of V2X Cybersecurity Mechanisms and Future Research Paths,English,428,55,61,2023,67
968,"Malicious Design in AIVR, Falsehood and Cybersecurity-oriented Immersive Defenses",English,94,11,12,2020,8
969,Multimodal Classification of Onion Services for Proactive Cyber Threat Intelligence Using Explainable Deep Learning,English,60,7,9,2022,13
970,Public perceptions of artificial intelligence in healthcare: ethical concerns and opportunities for patient-centered care,English,43,27,31,2024,11
971,It takes a pirate to know one: ethical hackers for healthcare cybersecurity,English,39,1,3,2022,8
972,Proposed Models for Advanced Persistent Threat Detection: A Review,English,21,2,2,2020,8
973,Unveiling Cybersecurity Threats from Online Chat Groups: A Triple Extraction Approach,English,16,1,1,2023,14
974,Cybersecurity as Information Retrieval Dimension for Cloud-based Edge-powered IoT Search,English,21,0,0,2020,6
975,Ontology driven AI and Access Control Systems for Smart Fisheries,English,49,13,16,2021,10
976,Vulnerable AI: A Survey,English,30,0,0,2024,7
977,Artificial Intelligence (AI) for Dental Intraoral Film Mounting,English,8,4,4,2020,8
978,AIBot: A Novel Botnet Capable of Performing Distributed Artificial Intelligence Computing,English,30,1,1,2022,25
979,Cognitive Models in Cybersecurity: Learning From Expert Analysts and Predicting Attacker Behavior,English,37,12,16,2020,13
980,A Model Proposal of Cybersecurity for the IIoT: Enhancing IIoT Cybersecurity through Machine Learning and Deep Learning Techniques,English,15,0,0,2024,8
981,Unstructured Big Data Threat Intelligence Parallel Mining Algorithm,English,29,3,3,2024,16
982,Cybersecurity and Forensics in Connected Autonomous Vehicles: A Review of the State-of-the-Art,English,139,18,19,2022,18
983,The Effect of User Behavior in Online Banking on Cybersecurity Knowledge,English,29,0,1,2024,9
984,A Survey of Deep Learning Techniques for Cybersecurity in Mobile Networks,English,234,37,42,2021,36
985,Digitalization trends and expectations in Ukraine from a European perspective,English,14,0,0,2024,11
986,A transformer-based hierarchical learning model for the detection of cybersecurity threats,English,50,0,0,2025,29
987,Adaptive Cybersecurity Neural Networks: An Evolutionary Approach for Enhanced Attack Detection and Classification,English,75,4,5,2024,45
988,Explainable Artificial Intelligence with Integrated Gradients for the Detection of Adversarial Attacks on Text Classifiers,English,47,0,1,2025,17
989,When Choice is (not) an Option: Nudging and Techno-Regulation Approaches to Behavioural Cybersecurity,English,24,5,6,2022,11
990,Counter Denial of Service for Next-Generation Networks within the Artificial Intelligence and Post-Quantum Era,English,64,1,1,2024,10
991,"Emerging AI threats in cybercrime: a review of zero-day attacks via machine, deep, and federated learning",English,221,0,0,2025,37
992,Experimental Analysis of Trustworthy In-Vehicle Intrusion Detection System Using eXplainable Artificial Intelligence (XAI),English,41,27,30,2022,11
993,Demystifying Cyberattacks: Potential for Securing Energy Systems With Explainable AI,English,23,3,4,2024,5
994,Research on Spurious-Negative Sample Augmentation-Based Quality Evaluation Method for Cybersecurity Knowledge Graph,English,31,0,0,2025,20
995,Reducing Data Complexity in Feature Extraction and Feature Selection for Big Data Security Analytics,English,16,9,10,2018,6
996,Cybersecurity in Protection of Soft Targets,English,17,0,0,2019,6
997,"Behind the mask: a critical perspective on the ethical, moral, and legal implications of AI in ophthalmology",English,48,7,8,2024,8
998,Cybersecurity Issues in AI,English,34,31,32,2021,10
999,A Real-Time Sequential Deep Extreme Learning Machine Cybersecurity Intrusion Detection System,English,35,27,32,2021,14
1000,Cyber Threat Detection Based on Artificial Neural Networks Using Event Profiles,English,57,69,86,2019,20
